PostID,Date,Platform,ContentType,Campaign,PostHour,Impressions,Reach,Engagements,Likes,Comments,Shares,Clicks,Saves,VideoViews,FollowersGained,AdSpend,TargetAudience,PostCaption,HashtagCount,MediaCount,IsSponsored,InfluencerID,SentimentScore,CTR,EngagementRate,CostPerEngagement,ReachRate,ClickThroughRate,VideoViewRate,SaveRate,FollowerGrowthRate,ROI
POST_00001,2025-10-16,Instagram,Video,New Year Promo,10.0,23091.0,803.0,3971.0,176.0,446.0,170.0,366.0,271.0,14453.0,31.0,193.2604668730951,35-44,Sample post caption 1,14.0,4.0,False,,-0.5,0.0053,17.2,0.0487,3.48,1.59,62.59,1.17,3.86,-5.31
POST_00002,2024-04-24,Pinterest,Video,,6.0,40275.0,29998.0,921.0,1222.0,179.0,524.0,1665.0,419.0,3538.0,28.0,270.6595140512582,55+,Sample post caption 2,9.0,9.0,False,,0.36,0.0319,2.29,0.2939,74.48,4.13,8.78,1.04,0.09,207.58
POST_00003,2024-01-26,TikTok,Story,Holiday Campaign 2024,11.0,26181.0,13925.0,1255.0,1816.0,437.0,371.0,458.0,488.0,15191.0,250.0,488.1794028538759,25-34,Sample post caption 3,7.0,7.0,True,,-0.74,0.0809,4.79,0.389,53.19,1.75,58.02,1.86,1.8,-53.09
POST_00004,2026-01-29,Twitter,Video,Brand Awareness Q1,15.0,47658.0,7538.0,2203.0,702.0,372.0,731.0,119.0,175.0,2747.0,108.0,314.1658033132263,35-44,Sample post caption 4,14.0,1.0,True,INF_095,-0.97,0.0209,4.62,0.1426,15.82,0.25,5.76,0.37,1.43,-81.06
POST_00005,2024-10-08,Facebook,Story,Spring Collection,4.0,15742.0,7256.0,4693.0,2440.0,305.0,392.0,1236.0,230.0,18058.0,92.0,77.36808050311389,25-34,Sample post caption 5,13.0,4.0,False,,-0.96,0.0044,29.81,0.0165,46.09,7.85,114.71,1.46,1.27,698.78
POST_00006,2024-09-07,FB,Image,,1.0,9667.0,25646.0,4078.0,459.0,472.0,184.0,1764.0,317.0,11726.0,263.0,421.57204411751434,18-24,Sample post caption 6,12.0,6.0,False,INF_002,-0.01,0.0112,42.18,0.1034,265.29,18.25,121.3,3.28,1.03,109.22
POST_00007,2024-08-16,Facebook,Text,Retargeting Campaign,21.0,41727.0,9730.0,3792.0,1357.0,378.0,509.0,1206.0,466.0,9123.0,-6.0,90.72359862473273,18-24,Sample post caption 7,9.0,2.0,False,,0.54,0.1428,9.09,0.0239,23.32,2.89,21.86,1.12,-0.06,564.66
POST_00008,2024-05-22,YouTube,Story,Video Series 2025,15.0,38636.0,7988.0,944.0,1521.0,437.0,431.0,1669.0,439.0,24700.0,185.0,19.37309948118332,35-44,Sample post caption 8,5.0,4.0,False,,0.16,0.0053,2.44,0.0205,20.68,4.32,63.93,1.14,2.32,4207.52
POST_00009,2026-01-24,LinkedIn,Image,Video Series 2025,22.0,17499.0,18395.0,2283.0,2172.0,217.0,208.0,1362.0,55.0,14558.0,119.0,50.10497705504696,18-24,Sample post caption 9,2.0,2.0,False,,-0.93,0.0709,13.05,0.0219,105.12,7.78,83.19,0.31,0.65,1259.15
POST_00010,2024-04-14,TikTok,Video,Product Launch Alpha,14.0,33203.0,6008.0,1006.0,2468.0,469.0,799.0,1501.0,330.0,8065.0,174.0,393.0608838264354,55+,Sample post caption 10,11.0,1.0,True,INF_005,0.1,0.1032,3.03,0.3907,18.09,4.52,24.29,0.99,2.9,90.94
POST_00011,2025-11-23,Facebook,Image,,10.0,45821.0,15820.0,3777.0,161.0,328.0,328.0,1517.0,272.0,13304.0,243.0,450.9478375440619,35-44,Sample post caption 11,9.0,1.0,False,,-0.77,0.0335,8.24,0.1194,34.53,3.31,29.03,0.59,1.54,68.2
POST_00012,2026-01-28,Pinterest,Text,Retargeting Campaign,5.0,15430.0,19917.0,2217.0,2648.0,352.0,360.0,1254.0,20.0,2865.0,256.0,134.1016267874902,55+,Sample post caption 12,1.0,9.0,True,,0.93,0.1446,14.37,0.0605,129.08,8.13,18.57,0.13,1.29,367.56
POST_00013,2026-07-02,TikTok,Video,Influencer Collab,12.0,16564.0,6685.0,1615.0,1840.0,342.0,443.0,1919.0,164.0,24834.0,229.0,249.05488538607761,25-34,Sample post caption 13,0.0,9.0,False,,-0.29,0.0034,9.75,0.1542,40.36,11.59,149.93,0.99,3.43,285.26
POST_00014,2025-07-12,Instagram,Carousel,Back to School,18.0,2234.0,8679.0,1632.0,518.0,226.0,440.0,363.0,491.0,11860.0,40.0,298.61150792490895,45-54,Sample post caption 14,11.0,4.0,False,,0.01,0.132,73.05,0.183,388.5,16.25,530.89,21.98,0.46,-39.22
POST_00015,2024-03-30,Facebook,Image,Summer Sale 2024,9.0,49509.0,25104.0,3142.0,1028.0,211.0,368.0,1469.0,417.0,7026.0,96.0,209.34520803597667,45-54,Sample post caption 15,3.0,8.0,False,,-0.32,0.0587,6.35,0.0666,50.71,2.97,14.19,0.84,0.38,250.86
POST_00016,2025-08-27,Facebook,Image,Product Launch Alpha,23.0,29762.0,17216.0,3996.0,661.0,352.0,105.0,,579.0,11325.0,230.0,32.6620093255176,35-44,Sample post caption 16,7.0,7.0,True,,-0.07,0.0576,13.43,0.0082,57.85,6.61,38.05,1.95,1.34,2912.67
POST_00017,2025-03-08,Instagram,Image,Organic Growth,18.0,284.0,21537.0,1108.0,680.0,162.0,723.0,483.0,266.0,9163.0,19.0,28.326369339240433,55+,Sample post caption 17,3.0,5.0,False,,0.92,0.0708,390.14,0.0256,7583.45,170.07,3226.41,93.66,0.09,752.56
POST_00018,2024-02-02,Twitter,Video,Holiday Campaign 2024,4.0,30487.0,20601.0,2192.0,317.0,365.0,324.0,851.0,337.0,24567.0,-2.0,220.17468203009838,45-54,Sample post caption 18,7.0,2.0,True,,-0.48,0.1457,7.19,0.1004,67.57,2.79,80.58,1.11,-0.01,93.26
POST_00019,2024-01-31,Instagram,Carousel,,20.0,49374.0,12919.0,4230.0,2378.0,157.0,231.0,949.0,187.0,-24185.0,-34.0,398.9338255728624,35-44,Sample post caption 19,12.0,9.0,False,INF_048,0.44,0.0942,8.57,0.0943,26.17,1.92,48.98,0.38,-0.26,18.94
POST_00020,2024-04-05,Instagram,Story,Influencer Collab,6.0,40924.0,16653.0,3037.0,278.0,109.0,724.0,245.0,474.0,1146.0,98.0,42.31486800264489,45-54,Sample post caption 20,7.0,7.0,False,INF_087,0.51,0.1318,7.42,0.0139,40.69,0.6,2.8,1.16,0.59,189.5
POST_00021,2024-08-11,LinkedIn,Carousel,Video Series 2025,10.0,Null,9269.0,2818.0,2766.0,54.0,707.0,1929.0,207.0,21068.0,-8.0,102.83785691598213,45-54,Sample post caption 21,10.0,4.0,True,,-0.62,0.0042,38.27,0.0365,125.89,26.2,286.13,2.81,-0.09,837.88
POST_00022,2024-08-26,Facebook,Video,Back to School,13.0,13291.0,8079.0,2498.0,454.0,349.0,248.0,1943.0,73.0,12240.0,161.0,134.88393630037825,18-24,Sample post caption 22,0.0,2.0,True,INF_067,0.46,0.1345,18.79,0.054,60.79,14.62,92.09,0.55,1.99,620.25
POST_00023,2025-06-01,Instagram,Reel,Holiday Campaign 2024,22.0,3614.0,23580.0,3908.0,1591.0,213.0,316.0,763.0,393.0,12789.0,153.0,279.56300936229684,35-44,Sample post caption 23,12.0,2.0,True,,0.3,0.032,108.14,0.0715,652.46,21.11,353.87,10.87,0.65,36.46
POST_00024,2025-09-08,Instagram,Text,Summer Sale 2024,20.0,32834.0,16322.0,33.0,488.0,364.0,263.0,1248.0,489.0,23185.0,154.0,21.598012811869904,45-54,Sample post caption 24,5.0,3.0,True,,-0.42,0.0472,0.1,0.6545,49.71,3.8,70.61,1.49,0.94,2789.15
POST_00025,2024-01-28,Twitter,Reel,Flash Sale March,15.0,6177.0,16723.0,4064.0,1133.0,384.0,728.0,1180.0,571.0,11532.0,287.0,430.02140392745014,35-44,Sample post caption 25,10.0,6.0,True,INF_060,0.05,0.011,65.79,0.1058,270.73,19.1,186.69,9.24,1.72,37.2
POST_00026,2025-07-28,TikTok,Video,Retargeting Campaign,17.0,35220.0,16813.0,1265.0,569.0,14.0,502.0,630.0,25.0,892.0,12.0,235.363349285225,18-24,Sample post caption 26,14.0,1.0,False,,0.18,0.1373,3.59,0.1861,47.74,1.79,2.53,0.07,0.07,33.84
POST_00027,2024-07-22,Facebook,Video,Video Series 2025,20.0,48584.0,12215.0,3675.0,248.0,152.0,262.0,1629.0,536.0,20697.0,-27.0,242.61625690366466,35-44,Sample post caption 27,9.0,5.0,True,,0.67,0.0789,7.56,0.066,25.14,3.35,42.6,1.1,-0.22,235.72
POST_00028,2026-01-03,Twitter,Image,Brand Awareness Q1,22.0,9600.0,11093.0,4899.0,2985.0,19.0,681.0,1763.0,514.0,23212.0,-18.0,163.2595028612714,18-24,Sample post caption 28,7.0,3.0,False,,-0.75,0.0135,51.03,0.0333,115.55,18.36,241.79,5.35,-0.16,439.94
POST_00029,2025-10-27,Twitter,Text,Video Series 2025,22.0,15092.0,9620.0,3515.0,891.0,454.0,415.0,364.0,256.0,3623.0,158.0,106.00129832938687,45-54,Sample post caption 29,7.0,7.0,True,INF_059,0.94,0.0596,23.29,0.0302,63.74,2.41,24.01,1.7,1.64,71.7
POST_00030,2025-12-19,Facebook,Image,Brand Refresh,3.0,10233.0,6936.0,2341.0,2214.0,399.0,667.0,901.0,279.0,8038.0,222.0,181.83454921153043,45-54,Sample post caption 30,0.0,7.0,True,INF_026,0.54,0.0572,22.88,0.0777,67.78,8.8,78.55,2.73,3.2,147.75
POST_00031,2025-07-12,LinkedIn,Video,Video Series 2025,0.0,6505.0,2008.0,3328.0,2577.0,51.0,69.0,185.0,555.0,359.0,125.0,456.700106178491,45-54,Sample post caption 31,7.0,5.0,True,,0.07,0.0076,51.16,0.1372,30.87,2.84,5.52,8.53,6.23,-79.75
POST_00032,2025-03-05,Facebook,Video,Flash Sale March,21.0,30369.0,10369.0,104.0,3.0,342.0,233.0,1518.0,32.0,17872.0,-7.0,47.11541486350951,18-24,Sample post caption 32,12.0,9.0,False,,0.55,0.0521,0.34,0.453,34.14,5.0,58.85,0.11,-0.07,1510.94
POST_00033,2024-08-13,Facebook,Carousel,Back to School,14.0,16974.0,24691.0,3661.0,2913.0,468.0,431.0,1869.0,293.0,15607.0,102.0,30.364294558872295,25-34,Sample post caption 33,8.0,8.0,False,,0.47,0.0439,21.57,0.0083,145.46,11.01,91.95,1.73,0.41,2977.63
POST_00034,2025-04-04,YouTube,Carousel,Flash Sale March,13.0,31557.0,2233.0,4522.0,2187.0,320.0,53.0,1208.0,307.0,22144.0,137.0,57.2257069687766,18-24,Sample post caption 34,10.0,9.0,True,,-0.08,0.1379,14.33,0.0127,7.08,3.83,70.17,0.97,6.14,955.47
POST_00035,2025-08-26,Pinterest,Image,Back to School,18.0,17185.0,29120.0,698.0,153.0,366.0,169.0,1410.0,290.0,16674.0,234.0,388.4887674736741,18-24,Sample post caption 35,13.0,6.0,True,,-0.33,0.121,4.06,0.5566,169.45,8.2,97.03,1.69,0.8,81.47
POST_00036,2027-08-20,TikTok,Video,Spring Collection,4.0,35802.0,3824.0,4806.0,1770.0,83.0,35.0,279.0,303.0,14371.0,-39.0,24.208224414843826,55+,Sample post caption 36,5.0,8.0,False,,0.98,2.9513,13.42,0.005,10.68,0.78,40.14,0.85,-1.02,476.25
